source;source_name;target;target_name;relationship;type
nm1093951;Aaron Taylor-Johnson;nm3109964;Brian Tyree Henry;-1;undirected
nm2110418;Gemma Chan;nm1526352;Jaimie Alexander;-1;undirected
nm2394794;Karen Gillan;nm0252230;Chiwetel Ejiofor;-1;undirected
nm2394794;Karen Gillan;nm1089991;Tom Hiddleston;-1;undirected
nm2394794;Karen Gillan;nm2810287;David Dastmalchian;-1;undirected
nm0252230;Chiwetel Ejiofor;nm1089991;Tom Hiddleston;-1;undirected
nm0252230;Chiwetel Ejiofor;nm2810287;David Dastmalchian;-1;undirected
nm1089991;Tom Hiddleston;nm2810287;David Dastmalchian;-1;undirected
nm0004874;Vin Diesel;nm0000168;Samuel L. Jackson;-1;undirected
nm0293509;Martin Freeman;nm0429363;Toby Jones;-1;undirected
nm0647634;Elizabeth Olsen;nm0000168;Samuel L. Jackson;-1;undirected
nm0647634;Elizabeth Olsen;nm2962353;Pom Klementieff;-1;undirected
nm0000168;Samuel L. Jackson;nm2962353;Pom Klementieff;-1;undirected
nm0004937;Jamie Foxx;nm0012078;Scott Adkins;-1;undirected
nm0000604;John C. Reilly;nm0000673;Marisa Tomei;-1;undirected
nm2143282;Lupita Nyong'o;nm0005023;Djimon Hounsou;-1;undirected
nm0935653;Ray Winstone;nm0000291;Angela Bassett;-1;undirected
nm0004950;Jennifer Garner;nm0123092;Ty Burrell;-1;undirected
nm1212722;Benedict Cumberbatch;nm1092086;David Harbour;-1;undirected
nm2394794;Karen Gillan;nm3008739;Rob Delaney;-1;undirected
nm0671567;Michael Peña;nm3008739;Rob Delaney;-1;undirected
nm0000602;Robert Redford;nm0001804;Stanley Tucci;-1;undirected
nm0000602;Robert Redford;nm0005024;Terrence Howard;-1;undirected
nm0000602;Robert Redford;nm0001804;Stanley Tucci;-1;undirected
nm0000602;Robert Redford;nm0005024;Terrence Howard;-1;undirected
nm0001804;Stanley Tucci;nm0005024;Terrence Howard;-1;undirected
nm0000474;Michael Keaton;nm0829032;Ray Stevenson;-1;undirected
nm0000474;Michael Keaton;nm0000168;Samuel L. Jackson;-1;undirected
nm0829032;Ray Stevenson;nm0000168;Samuel L. Jackson;-1;undirected
nm0339460;Judy Greer;nm1195855;Lee Pace;-1;undirected
nm0413168;Hugh Jackman;nm0350453;Jake Gyllenhaal;-1;undirected
nm0413168;Hugh Jackman;nm0005024;Terrence Howard;-1;undirected
nm0350453;Jake Gyllenhaal;nm0005024;Terrence Howard;-1;undirected
nm0000620;Mickey Rourke;nm0000195;Bill Murray;-1;undirected
nm0757855;Zoe Saldana;nm1212722;Benedict Cumberbatch;-1;undirected
nm0757855;Zoe Saldana;nm0881631;Karl Urban;-1;undirected
nm1212722;Benedict Cumberbatch;nm0881631;Karl Urban;-1;undirected
nm0000169;Tommy Lee Jones;nm0836121;Michael Stuhlbarg;-1;undirected
nm0004874;Vin Diesel;nm0881631;Karl Urban;-1;undirected
nm0881631;Karl Urban;nm1176985;Dave Bautista;-1;undirected
nm1165110;Chris Hemsworth;nm0671567;Michael Peña;-1;undirected
nm0000288;Christian Bale;nm0429363;Toby Jones;-1;undirected
nm0424060;Scarlett Johansson;nm0001570;Edward Norton;-1;undirected
nm0749263;Mark Ruffalo;nm0000353;Willem Dafoe;-1;undirected
nm0000161;Salma Hayek;nm0293509;Martin Freeman;-1;undirected
nm0413168;Hugh Jackman;nm0000179;Jude Law;-1;undirected
nm0252961;Idris Elba;nm0938950;Benedict Wong;-1;undirected
nm0740264;Michael Rooker;nm1385871;Olga Kurylenko;-1;undirected
nm0413168;Hugh Jackman;nm3918035;Zendaya;-1;undirected
nm0000156;Jeff Goldblum;nm0000168;Samuel L. Jackson;-1;undirected
nm0000949;Cate Blanchett;nm0625789;Tim Blake Nelson;-1;undirected
nm0000353;Willem Dafoe;nm0000973;Benjamin Bratt;-1;undirected
nm1089991;Tom Hiddleston;nm0647634;Elizabeth Olsen;-1;undirected
nm0000620;Mickey Rourke;nm0012078;Scott Adkins;-1;undirected
nm0005023;Djimon Hounsou;nm0000164;Anthony Hopkins;-1;undirected
nm0430107;Michael B. Jordan;nm0625789;Tim Blake Nelson;-1;undirected
nm0532193;Matthew Macfadyen;nm0829032;Ray Stevenson;-1;undirected
nm0000239;Liv Tyler;nm0740264;Michael Rooker;-1;undirected
nm0000239;Liv Tyler;nm0002888;Stephen Blackehart;-1;undirected
nm0740264;Michael Rooker;nm0002888;Stephen Blackehart;-1;undirected
nm0000375;Robert Downey Jr.;nm0000179;Jude Law;-1;undirected
nm0000375;Robert Downey Jr.;nm1046097;Rachel McAdams;-1;undirected
nm0000179;Jude Law;nm1046097;Rachel McAdams;-1;undirected
nm3918035;Zendaya;nm6073955;Florence Pugh;-1;undirected
nm3918035;Zendaya;nm1176985;Dave Bautista;-1;undirected
nm6073955;Florence Pugh;nm1176985;Dave Bautista;-1;undirected
nm0671567;Michael Peña;nm0005023;Djimon Hounsou;-1;undirected
nm0000288;Christian Bale;nm0578853;Ben Mendelsohn;-1;undirected
nm4810527;Jett Klyne;nm0035514;Richard Armitage;-1;undirected
nm0005024;Terrence Howard;nm0000239;Liv Tyler;-1;undirected
nm1212722;Benedict Cumberbatch;nm1089991;Tom Hiddleston;-1;undirected
nm1385871;Olga Kurylenko;nm1046097;Rachel McAdams;-1;undirected
nm0000179;Jude Law;nm0000569;Gwyneth Paltrow;-1;undirected
nm0001745;Stellan Skarsgård;nm0586568;Mads Mikkelsen;-1;undirected
nm0001745;Stellan Skarsgård;nm0586568;Mads Mikkelsen;-1;undirected
nm1157048;Zachary Levi;nm0000547;Alfred Molina;-1;undirected
nm1002641;Dominic Cooper;nm1107001;Anthony Mackie;-1;undirected
nm0001804;Stanley Tucci;nm0079273;Paul Bettany;-1;undirected
nm0342029;Frank Grillo;nm0012078;Scott Adkins;-1;undirected
nm0000161;Salma Hayek;nm0000547;Alfred Molina;-1;undirected
nm0000604;John C. Reilly;nm0046223;Sayed Badreya;-1;undirected
nm0000949;Cate Blanchett;nm0005023;Djimon Hounsou;-1;undirected
nm0000949;Cate Blanchett;nm0534635;Richard Madden;-1;undirected
nm0000949;Cate Blanchett;nm0001745;Stellan Skarsgård;-1;undirected
nm0534635;Richard Madden;nm0001745;Stellan Skarsgård;-1;undirected
nm0578853;Ben Mendelsohn;nm4789912;Hannah John-Kamen;-1;undirected
nm0001838;Rachel Weisz;nm0000179;Jude Law;-1;undirected
nm0001838;Rachel Weisz;nm0000164;Anthony Hopkins;-1;undirected
nm0000179;Jude Law;nm0000164;Anthony Hopkins;-1;undirected
nm0342029;Frank Grillo;nm1526352;Jaimie Alexander;-1;undirected
